Date,Time logged,Updated,Zone,Person Count
2023-10-07,17:15:27.181,17:15:27.129,Zone_14-06,0
2023-10-07,17:15:27.181,17:15:27.129,Zone_14-07,0
2023-10-07,17:15:27.182,17:15:27.128,Zone_13-06,0
2023-10-07,17:15:27.182,17:15:27.128,Zone_13-05,0
2023-10-07,17:15:27.182,17:15:27.128,Zone_13-04,0
2023-10-07,17:15:27.182,17:15:27.128,Zone_13-03,0
2023-10-07,17:15:27.183,17:15:27.128,Zone_13-02,0
2023-10-07,17:15:27.183,17:15:27.128,Zone_13-01,0
2023-10-07,17:15:27.183,17:15:27.148,Zone_08-01,0
2023-10-07,17:15:27.184,17:15:27.148,Zone_08-02,0
2023-10-07,17:15:27.184,17:15:27.128,Zone_12-05,0
2023-10-07,17:15:27.184,17:15:27.128,Zone_12-03,0
2023-10-07,17:15:27.185,17:15:27.128,Zone_12-04,0
2023-10-07,17:15:27.185,17:15:27.128,Zone_12-01,0
2023-10-07,17:15:27.185,17:15:27.128,Zone_12-02,0
2023-10-07,17:15:27.185,17:15:27.129,Zone_10-03,0
2023-10-07,17:15:27.186,17:15:27.129,Zone_10-04,0
2023-10-07,17:15:27.186,17:15:27.129,Zone_10-01,0
2023-10-07,17:15:27.186,17:15:27.129,Zone_10-02,0
2023-10-07,17:15:27.186,17:15:27.129,Zone_10-06,0
2023-10-07,17:15:27.187,17:15:27.129,Zone_10-05,0
2023-10-07,17:15:27.187,17:15:27.129,Zone_10-07,0
2023-10-07,17:15:27.187,17:15:27.129,Zone_01-06,0
2023-10-07,17:15:27.187,17:15:27.129,Zone_01-05,0
2023-10-07,17:15:27.188,17:15:27.129,Zone_01-04,0
2023-10-07,17:15:27.188,17:15:27.129,Zone_01-03,0
2023-10-07,17:15:27.188,17:15:27.129,Zone_01-02,0
2023-10-07,17:15:27.188,17:15:27.129,Zone_01-01,0
2023-10-07,17:15:27.188,17:15:27.129,Zone_01-07,0
2023-10-07,17:15:27.189,17:15:27.129,Zone_01-08,0
2023-10-07,17:15:27.640,17:15:27.595,Zone_09-04,0
2023-10-07,17:15:27.641,17:15:27.595,Zone_09-03,0
2023-10-07,17:15:27.641,17:15:27.595,Zone_09-02,0
2023-10-07,17:15:27.641,17:15:27.595,Zone_09-01,0
2023-10-07,17:15:27.642,17:15:27.595,Zone_07-01,0
2023-10-07,17:15:27.642,17:15:27.595,Zone_07-02,0
2023-10-07,17:15:27.642,17:15:27.595,Zone_07-03,0
2023-10-07,17:15:27.642,17:15:27.595,Zone_07-04,0
2023-10-07,17:15:27.643,17:15:27.597,Zone_05-03,0
2023-10-07,17:15:27.643,17:15:27.597,Zone_05-04,0
2023-10-07,17:15:27.643,17:15:27.597,Zone_05-05,0
2023-10-07,17:15:27.643,17:15:27.597,Zone_05-06,0
2023-10-07,17:15:27.644,17:15:27.597,Zone_05-01,0
2023-10-07,17:15:27.644,17:15:27.597,Zone_05-02,0
2023-10-07,17:15:27.644,17:15:27.616,Zone_03-01,0
2023-10-07,17:15:27.644,17:15:27.616,Zone_03-02,0
2023-10-07,17:15:27.645,17:15:27.616,Zone_03-03,0
2023-10-07,17:15:27.645,17:15:27.597,Zone_02-01,0
2023-10-07,17:15:27.645,17:15:27.597,Zone_02-03,0
2023-10-07,17:15:27.646,17:15:27.597,Zone_02-02,0
2023-10-07,17:15:27.646,17:15:27.597,Zone_02-05,0
2023-10-07,17:15:27.646,17:15:27.597,Zone_02-04,0
2023-10-07,17:15:27.646,17:15:27.595,Zone_04-01,0
2023-10-07,17:15:27.647,17:15:27.595,Zone_04-06,0
2023-10-07,17:15:27.647,17:15:27.595,Zone_04-02,0
2023-10-07,17:15:27.647,17:15:27.595,Zone_04-03,0
2023-10-07,17:15:27.647,17:15:27.595,Zone_04-04,0
2023-10-07,17:15:27.648,17:15:27.595,Zone_04-05,0
2023-10-07,17:15:27.648,17:15:27.595,Zone_06-05,0
2023-10-07,17:15:27.648,17:15:27.595,Zone_06-04,0
2023-10-07,17:15:27.648,17:15:27.595,Zone_06-01,0
2023-10-07,17:15:27.649,17:15:27.595,Zone_06-03,0
2023-10-07,17:15:27.649,17:15:27.595,Zone_06-02,1
2023-10-07,17:15:27.649,17:15:27.597,Zone_14-01,0
2023-10-07,17:15:27.649,17:15:27.597,Zone_14-02,0
2023-10-07,17:15:27.650,17:15:27.597,Zone_14-03,0
2023-10-07,17:15:27.650,17:15:27.597,Zone_14-04,0
2023-10-07,17:15:27.650,17:15:27.597,Zone_14-05,0
2023-10-07,17:15:27.650,17:15:27.597,Zone_14-06,0
2023-10-07,17:15:27.651,17:15:27.597,Zone_14-07,0
2023-10-07,17:15:27.651,17:15:27.595,Zone_13-06,0
2023-10-07,17:15:27.651,17:15:27.595,Zone_13-05,0
2023-10-07,17:15:27.651,17:15:27.595,Zone_13-04,0
2023-10-07,17:15:27.652,17:15:27.595,Zone_13-03,0
2023-10-07,17:15:27.652,17:15:27.595,Zone_13-02,0
2023-10-07,17:15:27.652,17:15:27.595,Zone_13-01,0
2023-10-07,17:15:27.653,17:15:27.616,Zone_08-01,0
2023-10-07,17:15:27.653,17:15:27.616,Zone_08-02,0
2023-10-07,17:15:27.654,17:15:27.597,Zone_12-05,0
2023-10-07,17:15:27.654,17:15:27.597,Zone_12-03,0
2023-10-07,17:15:27.654,17:15:27.597,Zone_12-04,0
2023-10-07,17:15:27.654,17:15:27.597,Zone_12-01,0
2023-10-07,17:15:27.655,17:15:27.597,Zone_12-02,0
2023-10-07,17:15:27.655,17:15:27.598,Zone_10-03,0
2023-10-07,17:15:27.656,17:15:27.598,Zone_10-04,0
2023-10-07,17:15:27.656,17:15:27.598,Zone_10-01,0
2023-10-07,17:15:27.656,17:15:27.598,Zone_10-02,0
2023-10-07,17:15:27.656,17:15:27.598,Zone_10-06,0
2023-10-07,17:15:27.657,17:15:27.598,Zone_10-05,0
2023-10-07,17:15:27.657,17:15:27.598,Zone_10-07,0
2023-10-07,17:15:27.657,17:15:27.598,Zone_01-06,0
2023-10-07,17:15:27.658,17:15:27.598,Zone_01-05,0
2023-10-07,17:15:27.658,17:15:27.598,Zone_01-04,0
2023-10-07,17:15:27.658,17:15:27.598,Zone_01-03,0
2023-10-07,17:15:27.658,17:15:27.598,Zone_01-02,0
2023-10-07,17:15:27.659,17:15:27.598,Zone_01-01,0
2023-10-07,17:15:27.659,17:15:27.598,Zone_01-07,0
2023-10-07,17:15:27.659,17:15:27.598,Zone_01-08,0
2023-10-07,17:15:28.126,17:15:28.079,Zone_09-04,0
2023-10-07,17:15:28.126,17:15:28.079,Zone_09-03,0
2023-10-07,17:15:28.126,17:15:28.079,Zone_09-02,0
2023-10-07,17:15:28.126,17:15:28.079,Zone_09-01,0
2023-10-07,17:15:28.127,17:15:28.079,Zone_07-01,0
2023-10-07,17:15:28.127,17:15:28.079,Zone_07-02,0
2023-10-07,17:15:28.127,17:15:28.079,Zone_07-03,0
2023-10-07,17:15:28.128,17:15:28.079,Zone_07-04,0
2023-10-07,17:15:28.128,17:15:28.080,Zone_05-03,0
2023-10-07,17:15:28.128,17:15:28.080,Zone_05-04,0
2023-10-07,17:15:28.128,17:15:28.080,Zone_05-05,0
2023-10-07,17:15:28.129,17:15:28.080,Zone_05-06,0
2023-10-07,17:15:28.129,17:15:28.080,Zone_05-01,0
2023-10-07,17:15:28.129,17:15:28.080,Zone_05-02,0
2023-10-07,17:15:28.130,17:15:28.100,Zone_03-01,0
2023-10-07,17:15:28.130,17:15:28.100,Zone_03-02,0
2023-10-07,17:15:28.130,17:15:28.100,Zone_03-03,0
2023-10-07,17:15:28.130,17:15:28.080,Zone_02-01,0
2023-10-07,17:15:28.131,17:15:28.080,Zone_02-03,0
2023-10-07,17:15:28.131,17:15:28.080,Zone_02-02,0
2023-10-07,17:15:28.131,17:15:28.080,Zone_02-05,0
2023-10-07,17:15:28.132,17:15:28.080,Zone_02-04,0
2023-10-07,17:15:28.132,17:15:28.079,Zone_04-01,0
2023-10-07,17:15:28.132,17:15:28.079,Zone_04-06,0
2023-10-07,17:15:28.132,17:15:28.079,Zone_04-02,0
2023-10-07,17:15:28.133,17:15:28.079,Zone_04-03,0
2023-10-07,17:15:28.133,17:15:28.079,Zone_04-04,0
2023-10-07,17:15:28.133,17:15:28.079,Zone_04-05,0
2023-10-07,17:15:28.133,17:15:28.079,Zone_06-05,0
2023-10-07,17:15:28.134,17:15:28.079,Zone_06-04,0
2023-10-07,17:15:28.134,17:15:28.079,Zone_06-01,0
2023-10-07,17:15:28.134,17:15:28.079,Zone_06-03,0
2023-10-07,17:15:28.135,17:15:28.079,Zone_06-02,1
2023-10-07,17:15:28.135,17:15:28.081,Zone_14-01,0
2023-10-07,17:15:28.135,17:15:28.081,Zone_14-02,0
2023-10-07,17:15:28.135,17:15:28.081,Zone_14-03,0
2023-10-07,17:15:28.136,17:15:28.081,Zone_14-04,0
2023-10-07,17:15:28.136,17:15:28.081,Zone_14-05,0
2023-10-07,17:15:28.136,17:15:28.081,Zone_14-06,0
2023-10-07,17:15:28.137,17:15:28.081,Zone_14-07,0
2023-10-07,17:15:28.137,17:15:28.079,Zone_13-06,0
2023-10-07,17:15:28.137,17:15:28.079,Zone_13-05,0
2023-10-07,17:15:28.138,17:15:28.079,Zone_13-04,0
2023-10-07,17:15:28.138,17:15:28.079,Zone_13-03,0
2023-10-07,17:15:28.138,17:15:28.079,Zone_13-02,0
2023-10-07,17:15:28.139,17:15:28.079,Zone_13-01,0
2023-10-07,17:15:28.139,17:15:28.101,Zone_08-01,0
2023-10-07,17:15:28.139,17:15:28.101,Zone_08-02,0
2023-10-07,17:15:28.139,17:15:28.080,Zone_12-05,0
2023-10-07,17:15:28.140,17:15:28.080,Zone_12-03,0
2023-10-07,17:15:28.140,17:15:28.080,Zone_12-04,0
2023-10-07,17:15:28.140,17:15:28.080,Zone_12-01,0
2023-10-07,17:15:28.140,17:15:28.080,Zone_12-02,0
2023-10-07,17:15:28.141,17:15:28.086,Zone_10-03,0
